lag,years,n,Shock2020_identifiable,beta_F,HAC_SE,p_value,R2,adjusted_R2,AIC,AICc,BIC,LOOCV_RMSE,selected_by_AICc
0,2013;2014;2015;2016;2017;2018,6,no (all zero),-0.017142204156299447,0.02807380889986669,0.5744482382588594,0.04778604827418309,-0.19026743965727122,-34.45455279334208,-30.45455279334208,-34.87103385488597,0.07782380851481643,False
1,2013;2014;2015;2016;2017;2018,6,no (all zero),0.05158072131821782,0.022609552157443247,0.08465867980778516,0.42658020145717157,0.2832252518214644,-37.49758279875417,-33.49758279875417,-37.914063860298064,0.04517525770143198,True
2,2013;2014;2015;2016;2017;2018,6,no (all zero),-0.0038986627638747592,0.020591884634254046,0.8590529934698665,0.0022028982519853857,-0.24724637718501818,-34.17399158115346,-30.17399158115346,-34.59047264269735,0.05381883653054941,False
